ID,LOAN,MORTDUE,VALUE,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,BAD
0,1100,25860,39025,10.5,0,0,94.366666667,1,9,nan,1
1,1300,70053,68400,7,0,2,121.83333333,0,14,nan,1
2,1500,13500,16700,4,0,0,149.46666667,1,10,nan,1
3,1500,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
4,1700,97800,112000,3,0,0,93.333333333,0,14,nan,0
5,1700,30548,40320,9,0,0,101.46600191,1,8,37.113613558,1
6,1800,48649,57037,5,3,2,77.1,1,17,nan,1
7,1800,28502,43034,11,0,0,88.766029879,0,8,36.884894093,1
8,2000,32700,46740,3,0,2,216.93333333,1,12,nan,1
9,2000,nan,62250,16,0,0,115.8,0,13,nan,1
10,2000,22608,nan,18,nan,nan,nan,nan,nan,nan,1
11,2000,20627,29800,11,0,1,122.53333333,1,9,nan,1
12,2000,45000,55000,3,0,0,86.066666667,2,25,nan,1
13,2000,64536,87400,2.5,0,0,147.13333333,0,24,nan,0
14,2100,71000,83850,8,0,1,123,0,16,nan,1
15,2200,24280,34687,nan,0,1,300.86666667,0,8,nan,1
16,2200,90957,102600,7,2,6,122.9,1,22,nan,1
17,2200,23030,nan,19,nan,nan,nan,nan,nan,3.7113122995,1
18,2300,28192,40150,4.5,0,0,54.6,1,16,nan,1
19,2300,102370,120953,2,0,0,90.992533467,0,13,31.588503178,0
20,2300,37626,46200,3,0,1,122.26666667,1,14,nan,1
21,2400,50000,73395,5,1,0,nan,1,0,nan,1
22,2400,28000,40800,12,0,0,67.2,2,22,nan,1
23,2400,18000,nan,22,nan,2,121.73333333,0,10,nan,1
24,2400,nan,17180,nan,0,0,14.566666667,3,4,nan,1
25,2400,34863,47471,12,0,0,70.491080032,1,21,38.263600731,1
26,2400,98449,117195,4,0,0,93.811774855,0,13,29.681827045,0
27,2500,15000,20200,18,0,0,136.06666667,1,19,nan,1
28,2500,25116,36350,10,1,2,276.96666667,0,9,nan,1
29,2500,7229,44516,nan,0,0,208,0,12,nan,0
30,2500,71408,78600,8,0,0,255.73333333,0,12,nan,0
31,2800,50795,63100,26,2,15,145.63333333,3,45,nan,1
32,2800,4000,60850,16,4,0,112.63333333,2,9,nan,1
33,2900,78600,113000,6,1,0,165.33333333,2,26,nan,1
34,2900,103949,112505,1,0,0,96.10232967,0,13,30.051136286,0
35,2900,104373,120702,2,0,0,101.54029753,0,13,29.915859028,0
36,2900,7750,67996,16,3,0,122.20466276,2,8,36.211347998,1
37,2900,61962,70915,2,0,0,282.80165924,3,37,49.20639579,1
38,3000,104570,121729,2,0,0,85.884371895,0,14,32.059783267,0
39,3000,7000,20300,3,0,0,50.8,5,9,nan,1
40,3000,nan,8800,2,0,1,77.766666667,0,3,nan,1
41,3000,nan,33000,1,0,1,23.3,1,2,nan,1
42,3000,119826,193500,8,0,0,130.03335846,0,27,nan,1
43,3000,20000,29750,2,0,0,187.06666667,0,12,nan,1
44,3000,nan,14500,3,0,0,9.3,14,2,nan,1
45,3000,nan,14100,1,0,0,104.2,0,19,nan,1
46,3000,47000,82700,10,0,1,262.16666667,5,26,nan,1
47,3000,34542,45900,8.5,0,2,62.366666667,0,10,nan,1
48,3000,58000,71500,10,nan,2,211.93333333,0,25,nan,0
49,3000,47000,56400,21,0,0,201.86666667,0,20,nan,0
50,3100,39589,36100,1.5,0,0,153.16666667,1,14,nan,1
51,3100,nan,70400,nan,nan,nan,nan,nan,nan,nan,0
52,3200,67848,74566,10,nan,1,206.42660206,0,25,40.115677278,0
53,3200,48603,61000,28,0,4,122.03333333,1,25,nan,1
54,3200,27200,40834,nan,0,0,298.13156403,0,7,35.553538789,1
55,3200,54000,64850,1,0,0,121.86666667,3,21,nan,1
56,3200,74864,87266,7,0,0,250.63126922,0,12,42.909997351,0
57,3200,23159,nan,20,nan,2,117.80574784,0,9,0.5244992154,1
58,3300,126541,134527,9,1,0,139,0,36,nan,1
59,3300,130518,164317,9,0,6,192.28914897,0,33,35.73055919,1
60,3400,37000,52000,2,0,1,183.29991561,0,6,nan,1
61,3500,23200,38666,11,0,0,162.36666667,0,14,nan,1
62,3500,19400,20494,5,0,0,95.933333333,0,9,nan,1
63,3600,61584,61800,10,nan,nan,nan,nan,nan,nan,1
64,3600,41900,52490,3,0,0,72.033333333,2,4,nan,1
65,3600,83700,111800,6,0,0,192.73333333,1,28,nan,0
66,3600,61327,76484,9,nan,2,202.51077515,0,25,41.516389699,0
67,3600,100693,114743,6,0,0,88.470452135,0,14,29.393543382,0
68,3600,48507,61000,13,1,4,97.4,0,17,nan,1
69,3600,52337,63989,20,0,0,204.27249884,0,20,20.470915508,0
70,3700,17857,21144,5,0,0,129.71732313,1,9,26.634347518,1
71,3800,19135,97692,1.6,1,6,252.63333333,1,25,nan,1
72,3800,51180,63459,20,0,0,203.75153358,0,20,20.067042051,0
73,3800,nan,73189,nan,nan,nan,nan,nan,nan,22.253949156,0
74,3800,11543,46045,nan,0,0,204.64799167,0,11,42.173165882,0
75,3900,29896,45960,11,0,0,146.12324219,0,14,24.478881191,1
76,3900,14500,22092,3.5,0,1,150.3,5,8,nan,1
77,3900,52825,63000,8,0,4,171.66666667,1,31,nan,0
78,3900,102143,118742,2,0,0,85.277365579,0,13,29.343921089,0
79,3900,21200,39000,4,0,1,86.566666667,2,14,nan,1
80,4000,105164,112774,1,0,0,94.724874167,0,13,29.390928055,0
81,4000,54543,61777,21,0,0,205.58668003,0,19,21.806563464,0
82,4000,nan,80609,1.5,0,2,126.53333333,3,12,nan,1
83,4000,26572,31960,11,0,0,117.79510387,0,8,41.286491948,1
84,4000,17000,52012,22,3,1,85.333333333,1,9,nan,1
85,4000,29562,37200,6,0,0,92.133333333,1,26,nan,1
86,4000,41700,76725,0.5,0,3,136.13333333,0,15,nan,1
87,4000,58000,69440,3.5,0,1,168.66666667,0,18,nan,1
88,4000,5700,18000,nan,0,0,12.2,0,17,nan,1
89,4000,45000,58350,3.5,0,0,162,3,16,nan,1
90,4000,7000,16020,18,0,1,85.8,2,23,nan,1
