ID,attr1,attr2,attr3,attr4,attr5,attr6,target
0,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0.0
1,-0.43091262,-0.44365372,0.44524439,-0.85955255,-0.37786573,-0.94572324,0.0
2,0.51576863,0.40567791,0.26491816,-0.85955255,-0.37786573,-0.94572324,0.0
3,0.20884674,-0.30209845,-0.32114211,1.2797051,1.3428446,1.8850381,1.0
4,0.074187304,-0.2003556,-0.27606055,0.72527027,2.4600995,1.0714608,0.0
5,1.1541729,1.6752518,-0.0055711987,1.0788596,-0.37786573,0.92824687,0.0
6,0.74189486,0.75071888,0.53540751,0.11809241,-0.37786573,0.74237341,0.0
7,3.3729201,2.6528678,-0.45638679,0.87084106,2.3305384,0.42242729,0.0
8,-0.42227409,-0.45250093,0.67065219,-0.85955255,-0.37786573,-0.94572324,0.0
9,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0.0
10,0.3790766,-0.35960528,-0.27606055,-0.85955255,-0.37786573,-0.94572324,0.0
11,-0.061488431,-0.29767485,-0.32114211,-0.85955255,-0.37786573,-0.94572324,0.0
12,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0.0
13,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0.0
14,-0.045227668,-0.41711211,0.17475504,0.7750597,0.61842161,1.248193,0.0
15,-0.31183642,-0.42153571,0.17475504,0.67548084,-0.37786573,1.306088,0.0
16,0.3433368,0.11814376,-0.27606055,-0.85955255,-0.37786573,-0.94572324,0.0
17,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0.0
18,0.091464364,-0.45250093,-0.230979,-0.85955255,-0.37786573,-0.94572324,0.0
19,0.44581348,-0.14284877,0.039510361,1.56072,-0.37786573,1.2756169,0.0
20,-0.17649945,-0.3994177,0.2198366,-0.85955255,-0.37786573,-0.94572324,0.0
21,0.47020462,-0.14727237,-0.095734317,1.3695792,0.37414864,1.1963922,0.0
22,0.19224721,-0.2003556,-0.230979,1.2003796,2.2620867,1.132403,1.0
23,-0.069449429,-0.33306367,-0.095734317,-0.85955255,-0.37786573,-0.94572324,0.0
24,-0.066569919,-0.3949941,0.30999972,0.024842721,0.51961272,1.0836493,0.0
25,-0.52085496,-0.36845248,6.0804393,1.0805474,0.12645144,0.62353628,0.0
26,0.68108638,0.25527543,-0.32114211,0.83708551,1.8385682,0.95262371,0.0
27,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0.0
28,-0.23764669,-0.42153571,1.3468756,1.1337124,-0.37786573,0.92215265,0.0
29,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0.0
30,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0.0
31,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0.0
32,0.33520642,0.16680339,0.40016284,0.9493227,0.68641241,1.0288014,0.0
33,0.16836422,-0.43480652,-0.45638679,0.65058613,-0.37786573,1.2969467,0.0
34,1.0117219,-0.45250093,-0.50146835,-0.85955255,-0.37786573,-0.94572324,0.0
35,0.11416168,-0.18708479,-0.230979,0.23665876,-0.37786573,1.3121822,0.0
36,2.10475,-0.43480652,-0.50146835,-0.85955255,-0.37786573,-0.94572324,0.0
37,-0.028458757,-0.30652205,-0.36622367,-0.85955255,-0.37786573,-0.94572324,0.0
38,0.062838647,-0.28440404,-0.095734317,-0.85955255,-0.37786573,-0.94572324,0.0
39,-0.11670727,-0.38172329,0.17475504,0.053956878,-0.37786573,1.4005483,0.0
40,0.40262083,-0.076494735,0.039510361,1.2033332,-0.37786573,1.1232616,0.0
41,-0.38229972,-0.42153571,1.9329359,0.56197782,0.032153316,0.91605844,0.0
42,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0.0
43,0.76289834,2.9934852,-0.095734317,0.83919523,0.13310236,0.41023887,0.0
44,0.2500068,1.3744468,2.6091592,1.492787,-0.37786573,0.8916816,0.0
45,0.45021743,0.55608039,0.08459192,-0.85955255,-0.37786573,-0.94572324,0.0
46,-0.30810999,-0.45250093,-0.230979,-0.85955255,-0.37786573,-0.94572324,0.0
47,0.63230409,1.2903984,0.2198366,0.64467891,-0.37786573,0.50469915,0.0
48,0.064193711,-0.42153571,0.12967348,1.3771742,-0.37786573,1.2390517,0.0
49,-0.085710191,-0.31094565,0.94114155,0.21556155,-0.37786573,1.248193,0.0
50,0.058095925,0.33932388,1.7976912,0.56408754,0.28538197,1.0531782,0.0
51,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0.0
52,-0.039976797,-0.33306367,-0.0055711987,0.50881284,1.2684663,1.0806022,0.0
53,0.52677852,0.21546301,-0.230979,1.075906,1.1846384,1.047084,0.0
54,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0.0
55,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0.0
56,-0.18208908,-0.27113323,1.4821203,-0.85955255,-0.37786573,-0.94572324,0.0
57,0.0052484477,0.069484139,0.08459192,-0.85955255,-0.37786573,-0.94572324,0.0
58,0.25068433,-0.45250093,-0.0055711987,-0.85955255,-0.37786573,-0.94572324,0.0
59,0.32233331,-0.12073076,-0.32114211,-0.85955255,-0.37786573,-0.94572324,0.0
60,-0.19123576,-0.42153571,0.80589687,-0.85955255,-0.37786573,-0.94572324,0.0
61,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0.0
62,0.57505266,1.0338294,0.44524439,0.87801411,-0.37786573,0.79417421,0.0
63,0.20461217,-0.049953122,0.98622311,0.14129935,-0.050983124,1.0897435,0.0
64,-0.13855767,-0.27555684,1.2567125,1.4290734,0.12286258,1.1963922,0.0
65,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0.0
66,-0.20749653,-0.45250093,-0.32114211,0.99404879,2.0977893,0.88863449,0.0
67,0.049965544,-0.43038291,2.0681805,0.76577692,-0.37786573,1.6686936,0.0
68,0.020154146,-0.34191087,-0.27606055,-0.85955255,-0.37786573,-0.94572324,0.0
69,0.44174828,-0.45250093,0.26491816,-0.85955255,-0.37786573,-0.94572324,0.0
70,0.20749168,0.77283689,0.35508128,1.2092404,0.42133063,0.86730475,0.0
71,0.83691868,-0.42595931,-0.41130523,-0.85955255,-0.37786573,-0.94572324,0.0
72,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0.0
73,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0.0
74,0.032180335,-0.24901522,-0.230979,0.10796575,-0.37786573,1.2299103,0.0
75,-0.34486609,-0.37287609,1.2116309,0.65100807,1.565288,0.71190235,0.0
76,0.041835163,-0.27555684,-0.27606055,-0.85955255,-0.37786573,-0.94572324,0.0
77,0.29015055,0.17122699,-0.14081588,0.33750345,-0.37786573,0.74542051,0.0
78,0.25474952,-0.2003556,0.94114155,0.4265337,0.37609124,1.1720153,0.0
79,0.26033916,0.21103941,0.76081531,1.1020665,0.17995509,1.132403,0.0
80,-0.57031478,-0.43038291,1.6173649,0.49573257,0.42268057,0.6875255,0.0
81,-0.010504166,-0.35518168,-0.230979,-0.85955255,-0.37786573,-0.94572324,0.0
82,-0.24205065,-0.23132081,-0.230979,1.1463707,2.0590033,0.81550395,0.0
83,0.47291475,-0.058800326,-0.32114211,1.3168362,-0.37786573,1.1080261,0.0
84,0.26118607,-0.10303635,-0.50146835,1.8729588,4.3969646,1.4858672,1.0
85,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0.0
86,0.21443638,-0.0057170995,0.49032595,0.85143162,-0.37786573,1.1232616,0.0
87,4.354833,0.582622,-0.54654991,9.3987574,-0.37786573,0.4285215,1.0
88,1.1011561,3.8560877,-0.230979,-0.85955255,-0.37786573,-0.94572324,0.0
89,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0.0
90,0.28727104,-0.45250093,-0.45638679,-0.85955255,-0.37786573,-0.94572324,0.0
91,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0.0
92,0.11704119,-0.43038291,-0.41130523,-0.85955255,-0.37786573,-0.94572324,0.0
93,-0.085032659,-0.22247361,1.0763862,1.0725304,0.043545478,0.90387002,0.0
94,0.587587,-0.34191087,-0.41130523,1.5392008,2.5001367,1.3182764,0.0
95,-0.049970391,-0.31536926,0.49032595,1.4071323,-0.37786573,0.71799656,0.0
96,-0.052680518,-0.44365372,-0.14081588,-0.85955255,-0.37786573,-0.94572324,0.0
97,-0.21833703,-0.4038413,2.2034252,0.016403835,0.21969596,1.4432078,0.0
98,0.036584292,-0.37287609,-0.27606055,-0.85955255,-0.37786573,-0.94572324,0.0
99,0.15311975,0.069484139,0.30999972,0.56197782,0.29795945,1.1598269,0.0
100,0.20783044,-0.42595931,-0.41130523,-0.85955255,-0.37786573,-0.94572324,0.0
101,3.236228,-0.4038413,-0.54654991,-0.85955255,-0.37786573,-0.94572324,0.0
102,0.35875064,1.3965648,-0.095734317,-0.85955255,-0.37786573,-0.94572324,0.0
103,-0.45547315,-0.35960528,-0.0055711987,1.7991185,-0.37786573,0.6357247,0.0
104,-0.37298366,-0.45250093,-0.0055711987,0.60628198,-0.37786573,1.6107986,0.0
105,0.36874424,0.83476733,-0.41130523,-0.85955255,-0.37786573,-0.94572324,0.0
106,0.33774716,0.99844061,0.98622311,0.36450789,-0.37786573,0.45899256,0.0
107,1.2254831,0.65339963,-0.230979,0.79362525,-0.37786573,0.85511633,0.0
108,0.82048854,-0.45250093,-0.18589744,-0.85955255,-0.37786573,-0.94572324,0.0
109,-0.56946787,-0.43923012,2.9247302,-0.11228918,-0.37786573,1.1141203,0.0
