ID,date,day,period,nswprice,nswdemand,vicprice,vicdemand,transfer,target
0,0.468785,1,0.382979,0.029182,0.34945,0.001915,0.182807,0.663596,1.0
1,0.447547,1,0.255319,0.020746,0.187295,0.001259,0.103055,0.765789,0.0
2,0.023096,2,0.361702,0.101327,0.528117,0.003467,0.422915,0.414912,1.0
3,0.438565,6,0.106383,0.051759,0.199048,0.003467,0.422915,0.414912,0.0
4,0.009778,7,0.808511,0.041732,0.609194,0.003467,0.422915,0.414912,0.0
5,0.45113,5,0.106383,0.040561,0.369682,0.002684,0.400311,0.600877,0.0
6,0.022698,7,0.914894,0.086736,0.302886,0.003467,0.422915,0.414912,1.0
7,0.469006,6,0.489362,0.056203,0.55668,0.003768,0.498446,0.371053,1.0
8,0.455953,3,0.12766,0.033025,0.290985,0.002243,0.351113,0.666228,0.0
9,0.908057,6,0.638298,0.045034,0.475156,0.003064,0.487571,0.364912,0.0
10,0.907216,1,0.340426,0.079771,0.294258,0.005073,0.249612,0.825877,1.0
11,0.013141,7,0.106383,0.041341,0.167658,0.003467,0.422915,0.414912,0.0
12,0.911199,1,0.87234,0.047226,0.373847,0.003066,0.326256,0.660965,1.0
13,0.898058,3,0.191489,0.029753,0.253645,0.001928,0.294666,0.697368,0.0
14,0.871599,6,0.553191,0.032124,0.697709,0.002117,0.649146,0.542105,0.0
15,0.443387,4,0.787234,0.077219,0.612467,0.005039,0.580269,0.49693,1.0
16,0.000752,5,0.851064,0.095473,0.500298,0.003467,0.422915,0.414912,1.0
17,0.013583,3,0.255319,0.074216,0.396459,0.003467,0.422915,0.414912,1.0
18,0.447281,2,0.148936,0.01279,0.202916,0.000833,0.246504,0.533772,0.0
19,0.000354,3,0.574468,0.089798,0.468908,0.003467,0.422915,0.414912,0.0
20,0.871466,3,0.148936,0.023508,0.20485,0.000841,0.23796,0.842544,0.0
21,0.871953,7,0.148936,0.023208,0.143261,0.001525,0.194977,0.835965,0.0
22,0.031503,4,0.702128,0.066561,0.473817,0.003467,0.422915,0.414912,0.0
23,0.465643,6,0.106383,0.02636,0.151741,0.001791,0.222683,0.515789,0.0
24,0.876156,2,0.276596,0.02585,0.423683,0.000823,0.172708,0.857018,0.0
25,0.86828,7,0.87234,0.042722,0.376079,0.002611,0.342051,0.835526,1.0
26,0.433476,2,0.510638,0.080251,0.594912,0.003467,0.422915,0.414912,1.0
27,0.474094,2,1.0,0.028612,0.383666,0.001919,0.321336,0.720614,0.0
28,0.452104,6,0.489362,0.033325,0.587474,0.002281,0.56318,0.334211,0.0
29,0.004734,5,0.787234,0.091059,0.726272,0.003467,0.422915,0.414912,0.0
30,0.889695,2,0.319149,0.03933,0.672716,0.002732,0.610823,0.310526,0.0
31,0.031636,7,0.787234,0.056833,0.307944,0.003467,0.422915,0.414912,0.0
32,0.469846,4,0.723404,0.428215,0.669444,0.028799,0.708441,0.357456,1.0
33,0.000575,1,0.446809,0.162093,0.533175,0.003467,0.422915,0.414912,1.0
34,0.443387,4,0.829787,0.046355,0.547456,0.003137,0.516831,0.521053,0.0
35,0.907172,7,0.659574,0.075057,0.336805,0.004836,0.324961,0.728947,0.0
36,0.0223,5,0.297872,0.046445,0.349003,0.003467,0.422915,0.414912,0.0
37,0.867926,6,0.744681,0.028792,0.602053,0.001807,0.431642,0.726754,0.0
38,0.425202,5,0.170213,0.058394,0.1446,0.003467,0.422915,0.414912,0.0
39,0.876244,4,0.06383,0.024739,0.207528,0.000841,0.348783,0.710088,0.0
40,0.893766,3,0.297872,0.029212,0.531836,0.001965,0.509839,0.396491,0.0
41,0.885049,1,0.319149,0.030803,0.321928,0.001942,0.188762,0.823246,0.0
42,0.018495,3,0.787234,0.047166,0.534662,0.003467,0.422915,0.414912,0.0
43,0.017964,5,0.829787,0.076318,0.54701,0.003467,0.422915,0.414912,0.0
44,0.000973,3,0.510638,0.043983,0.494793,0.003467,0.422915,0.414912,0.0
45,0.469669,7,0.531915,0.045094,0.377864,0.003037,0.375971,0.505702,1.0
46,0.455732,5,0.319149,0.048577,0.654865,0.003353,0.559037,0.547368,1.0
47,0.907703,5,0.0,0.05281,0.445998,0.00356,0.470999,0.519737,1.0
48,0.00031,2,0.87234,0.121713,0.508033,0.003467,0.422915,0.414912,0.0
49,0.880713,1,0.276596,0.028822,0.110086,0.000839,0.100466,0.838158,0.0
50,0.433786,2,0.446809,0.048637,0.525885,0.003467,0.422915,0.414912,0.0
51,0.434273,6,0.234043,0.043383,0.190568,0.003467,0.422915,0.414912,0.0
52,0.894429,4,0.829787,0.074817,0.763314,0.00511,0.671932,0.466667,1.0
53,0.442458,4,0.914894,0.055422,0.35064,0.003889,0.403418,0.500526,0.0
54,0.875979,5,0.340426,0.047076,0.622136,0.003145,0.538322,0.312281,1.0
55,0.473386,7,0.723404,0.043233,0.441238,0.002919,0.306059,0.507018,1.0
56,0.46467,5,0.723404,0.057524,0.426064,0.004007,0.469705,0.19386,0.0
57,0.43445,3,0.0,0.045334,0.382475,0.003467,0.422915,0.414912,0.0
58,0.429715,3,0.914894,0.06584,0.443618,0.003467,0.422915,0.414912,0.0
59,0.456484,1,0.382979,0.033355,0.480661,0.002223,0.316934,0.584649,1.0
60,0.430025,3,0.574468,0.095743,0.623773,0.003467,0.422915,0.414912,1.0
61,0.013893,3,0.425532,0.083644,0.675692,0.003467,0.422915,0.414912,1.0
62,0.889253,4,0.531915,0.027981,0.508331,0.001919,0.509322,0.472368,0.0
63,0.464404,6,0.638298,0.06515,0.448527,0.004481,0.447954,0.331579,1.0
64,0.026592,5,0.404255,0.107572,0.516067,0.003467,0.422915,0.414912,1.0
65,0.89412,4,0.531915,0.072655,0.616037,0.004931,0.676334,0.364912,0.0
66,0.876421,1,0.829787,0.028822,0.356442,0.000823,0.319006,0.769298,1.0
67,0.023096,2,0.659574,0.109133,0.498661,0.003467,0.422915,0.414912,1.0
68,0.018583,5,0.574468,0.054281,0.440345,0.003467,0.422915,0.414912,0.0
69,0.906818,6,0.978723,0.075147,0.444213,0.005141,0.381668,0.491228,0.0
70,0.447458,6,0.234043,0.02615,0.32654,0.001647,0.328586,0.765789,0.0
71,0.008849,7,0.319149,0.078209,0.270604,0.003467,0.422915,0.414912,1.0
72,0.428963,7,0.255319,0.068242,0.119905,0.003467,0.422915,0.414912,0.0
73,0.451396,4,0.87234,0.047946,0.704999,0.003174,0.575867,0.629386,1.0
74,0.469537,4,0.595745,0.046776,0.516959,0.003132,0.469446,0.45307,1.0
75,0.451794,6,0.617021,0.033626,0.529456,0.002223,0.584671,0.467105,0.0
76,0.02261,5,0.446809,0.100877,0.519786,0.003467,0.422915,0.414912,1.0
77,0.031193,4,0.212766,0.094572,0.282208,0.003467,0.422915,0.414912,1.0
78,0.443166,6,0.0,0.053801,0.485719,0.00365,0.420508,0.593421,1.0
79,0.880492,3,0.595745,0.081272,0.603541,0.005729,0.615225,0.224561,1.0
80,0.898323,2,0.787234,0.087547,0.796043,0.00571,0.685655,0.547807,1.0
81,0.474006,7,0.361702,0.029813,0.428444,0.002007,0.31797,0.721053,1.0
82,0.434494,4,0.93617,0.048667,0.418625,0.003467,0.422915,0.414912,0.0
83,0.867307,3,0.723404,0.055242,0.505802,0.003702,0.53392,0.495175,0.0
84,0.000575,1,0.382979,0.137294,0.558762,0.003467,0.422915,0.414912,1.0
85,0.460245,3,0.638298,0.030383,0.45418,0.002083,0.499482,0.332895,0.0
86,0.880315,6,0.340426,0.038759,0.507587,0.002692,0.507768,0.241667,0.0
87,0.451927,2,0.893617,0.074427,0.697411,0.005031,0.483687,0.633772,1.0
88,0.013628,4,0.234043,0.042602,0.261083,0.003467,0.422915,0.414912,0.0
89,0.90288,1,0.297872,0.0266,0.177923,0.001722,0.136458,0.807895,0.0
90,0.000221,7,0.042553,0.047106,0.234157,0.003467,0.422915,0.414912,0.0
91,0.898146,5,0.787234,0.551579,0.877715,0.035536,0.737442,0.695614,1.0
92,0.022433,1,0.425532,0.082353,0.502975,0.003467,0.422915,0.414912,1.0
93,0.89381,4,0.553191,0.069443,0.545076,0.004796,0.676334,0.276316,1.0
94,0.013672,5,0.021277,0.043503,0.4759,0.003467,0.422915,0.414912,0.0
95,0.433521,3,0.574468,0.071064,0.514579,0.003467,0.422915,0.414912,1.0
96,0.876112,1,1.0,0.029002,0.240107,0.000823,0.256344,0.790789,1.0
97,0.871599,6,0.255319,0.028522,0.482743,0.001834,0.522527,0.66886,0.0
98,0.447458,6,0.93617,0.042602,0.602499,0.00285,0.420766,0.530263,0.0
99,0.43883,5,0.808511,0.049898,0.370128,0.003467,0.422915,0.414912,0.0
100,0.889607,7,0.468085,0.076768,0.49524,0.004265,0.406007,0.672807,1.0
101,0.451794,6,0.702128,0.040141,0.619161,0.002663,0.581823,0.50307,0.0
102,0.446706,3,0.702128,0.085565,0.627343,0.005706,0.557483,0.483333,1.0
103,0.455511,7,0.787234,0.04002,0.731627,0.002696,0.514241,0.611404,0.0
104,0.44352,7,0.531915,0.045274,0.451056,0.003047,0.354997,0.564035,0.0
105,0.434494,4,0.765957,0.063558,0.454478,0.003467,0.422915,0.414912,1.0
106,0.443387,4,0.425532,0.051609,0.549241,0.0035,0.545054,0.43114,1.0
107,0.464316,4,0.574468,0.029813,0.442874,0.002065,0.479285,0.30307,1.0
108,0.017566,3,0.574468,0.068842,0.470544,0.003467,0.422915,0.414912,0.0
109,0.433609,5,1.0,0.067341,0.383963,0.003467,0.422915,0.414912,0.0
110,0.017875,3,0.93617,0.092951,0.448527,0.003467,0.422915,0.414912,1.0
111,0.469227,4,0.808511,0.034556,0.451354,0.002308,0.347488,0.533772,0.0
112,0.871466,3,0.808511,0.027261,0.606218,0.001653,0.400311,0.915789,0.0
113,0.014247,4,0.106383,0.040711,0.278042,0.003467,0.422915,0.414912,0.0
114,0.021946,4,0.531915,0.057794,0.463701,0.003467,0.422915,0.414912,1.0
115,0.013583,3,0.12766,0.041131,0.265992,0.003467,0.422915,0.414912,0.0
116,0.89381,4,0.829787,0.070914,0.7108,0.004821,0.626359,0.412281,1.0
117,0.452325,4,0.170213,0.032845,0.272538,0.002204,0.32522,0.783772,0.0
118,0.021902,3,0.170213,0.064879,0.169295,0.003467,0.422915,0.414912,0.0
119,0.500111,7,0.574468,0.053981,0.307647,0.003654,0.246245,0.451754,1.0
120,0.455644,3,0.510638,0.03888,0.587325,0.002705,0.58985,0.418421,0.0
121,0.45175,5,0.382979,0.040741,0.744868,0.002682,0.709736,0.410088,0.0
122,0.433786,2,0.106383,0.040861,0.118715,0.003467,0.422915,0.414912,0.0
123,0.000265,1,0.425532,0.10475,0.519042,0.003467,0.422915,0.414912,1.0
124,0.443387,4,0.659574,0.044043,0.476049,0.002954,0.500518,0.545175,0.0
125,0.005398,6,0.851064,0.080911,0.523951,0.003467,0.422915,0.414912,1.0
126,0.889253,6,0.148936,0.028191,0.221809,0.00103,0.287675,0.74386,0.0
127,0.90319,1,0.021277,0.088807,0.272687,0.006034,0.353185,0.411842,1.0
128,0.425645,1,0.255319,0.067641,0.114698,0.003467,0.422915,0.414912,1.0
129,0.430069,4,0.617021,0.072655,0.512794,0.003467,0.422915,0.414912,0.0
130,0.438874,6,0.0,0.048337,0.328474,0.003467,0.422915,0.414912,0.0
131,0.881288,7,0.659574,0.029092,0.282208,0.001631,0.26463,0.7,0.0
132,0.000442,5,0.297872,0.044134,0.459833,0.003467,0.422915,0.414912,0.0
133,0.430069,4,0.553191,0.070584,0.522315,0.003467,0.422915,0.414912,0.0
134,0.456263,3,0.382979,0.043203,0.660964,0.002892,0.644226,0.519737,1.0
135,0.42945,4,0.510638,0.090068,0.593276,0.003467,0.422915,0.414912,1.0
136,0.45998,4,0.148936,0.032785,0.209313,0.002227,0.244433,0.52807,0.0
137,0.464404,6,0.765957,0.074997,0.462214,0.005174,0.474366,0.323684,1.0
138,0.425424,3,0.0,0.07929,0.361648,0.003467,0.422915,0.414912,0.0
139,0.026769,2,0.744681,0.059865,0.41922,0.003467,0.422915,0.414912,0.0
140,0.867395,1,0.148936,0.017924,0.074085,0.000841,0.14552,0.902632,0.0
141,0.02668,7,0.829787,0.050498,0.360607,0.003467,0.422915,0.414912,0.0
142,0.464404,6,0.446809,0.107722,0.518149,0.007285,0.509581,0.465789,1.0
143,0.908101,7,0.382979,0.087607,0.458346,0.00575,0.374158,0.637719,1.0
144,0.907128,6,0.787234,0.094872,0.573788,0.006346,0.71854,0.344298,1.0
145,0.45175,5,0.893617,0.033956,0.725528,0.002306,0.51709,0.603509,0.0
146,0.90704,4,0.12766,0.040951,0.188783,0.002763,0.323666,0.480702,0.0
147,0.991018,6,0.851064,0.029392,0.56873,0.001938,0.493786,0.589912,0.0
148,0.451529,7,0.723404,0.037679,0.637162,0.002445,0.447437,0.699123,0.0
149,0.893943,7,0.234043,0.032725,0.260488,0.001668,0.314863,0.794298,0.0
150,0.881377,2,0.808511,0.030803,0.540018,0.002164,0.583635,0.295614,0.0
151,0.017654,5,0.595745,0.071334,0.458346,0.003467,0.422915,0.414912,0.0
152,0.429804,5,0.87234,0.054251,0.39155,0.003467,0.422915,0.414912,0.0
153,0.912438,1,0.765957,0.043683,0.329069,0.002875,0.288193,0.702193,1.0
154,0.456219,2,0.617021,0.033235,0.477685,0.002266,0.577162,0.461842,1.0
155,0.898544,7,0.0,0.088898,0.493008,0.005893,0.495598,0.469298,1.0
156,0.438078,2,0.531915,0.064489,0.473073,0.003467,0.422915,0.414912,0.0
157,0.889607,7,0.106383,0.035727,0.29277,0.002341,0.374417,0.641667,0.0
158,0.474138,3,0.404255,0.029482,0.529604,0.002027,0.412222,0.575877,0.0
159,0.01323,2,0.765957,0.075718,0.714222,0.003467,0.422915,0.414912,1.0
160,0.442503,5,0.914894,0.071514,0.428146,0.004828,0.426204,0.500526,1.0
