,sepal_length,sepal_width,petal_length,petal_width,species
22,4.6,3.6,1.0,0.2,1
15,5.7,4.4,1.5,0.4,1
65,6.7,3.1,4.4,1.4,2
11,4.8,3.4,1.6,0.2,1
42,4.4,3.2,1.3,0.2,1
146,6.3,2.5,5.0,1.9,3
51,6.4,3.2,4.5,1.5,2
27,5.2,3.5,1.5,0.2,1
4,5.0,3.6,1.4,0.2,1
32,5.2,4.1,1.5,0.1,1
142,5.8,2.7,5.1,1.9,3
85,6.0,3.4,4.5,1.6,2
86,6.7,3.1,4.7,1.5,2
16,5.4,3.9,1.3,0.4,1
10,5.4,3.7,1.5,0.2,1
81,5.5,2.4,3.7,1.0,2
133,6.3,2.8,5.1,1.5,3
137,6.4,3.1,5.5,1.8,3
75,6.6,3.0,4.4,1.4,2
109,7.2,3.6,6.1,2.5,3
96,5.7,2.9,4.2,1.3,2
105,7.6,3.0,6.6,2.1,3
66,5.6,3.0,4.5,1.5,2
0,5.1,3.5,1.4,0.2,1
122,7.7,2.8,6.7,2.0,3
67,5.8,2.7,4.1,1.0,2
28,5.2,3.4,1.4,0.2,1
40,5.0,3.5,1.3,0.3,1
44,5.1,3.8,1.9,0.4,1
60,5.0,2.0,3.5,1.0,2
123,6.3,2.7,4.9,1.8,3
24,4.8,3.4,1.9,0.2,1
25,5.0,3.0,1.6,0.2,1
23,5.1,3.3,1.7,0.5,1
94,5.6,2.7,4.2,1.3,2
39,5.1,3.4,1.5,0.2,1
95,5.7,3.0,4.2,1.2,2
117,7.7,3.8,6.7,2.2,3
47,4.6,3.2,1.4,0.2,1
97,6.2,2.9,4.3,1.3,2
113,5.7,2.5,5.0,2.0,3
33,5.5,4.2,1.4,0.2,1
138,6.0,3.0,4.8,1.8,3
101,5.8,2.7,5.1,1.9,3
62,6.0,2.2,4.0,1.0,2
84,5.4,3.0,4.5,1.5,2
148,6.2,3.4,5.4,2.3,3
53,5.5,2.3,4.0,1.3,2
5,5.4,3.9,1.7,0.4,1
93,5.0,2.3,3.3,1.0,2
111,6.4,2.7,5.3,1.9,3
49,5.0,3.3,1.4,0.2,1
35,5.0,3.2,1.2,0.2,1
80,5.5,2.4,3.8,1.1,2
77,6.7,3.0,5.0,1.7,2
34,4.9,3.1,1.5,0.1,1
114,5.8,2.8,5.1,2.4,3
7,5.0,3.4,1.5,0.2,1
43,5.0,3.5,1.6,0.6,1
70,5.9,3.2,4.8,1.8,2
98,5.1,2.5,3.0,1.1,2
120,6.9,3.2,5.7,2.3,3
83,6.0,2.7,5.1,1.6,2
134,6.1,2.6,5.6,1.4,3
135,7.7,3.0,6.1,2.3,3
89,5.5,2.5,4.0,1.3,2
8,4.4,2.9,1.4,0.2,1
13,4.3,3.0,1.1,0.1,1
119,6.0,2.2,5.0,1.5,3
125,7.2,3.2,6.0,1.8,3
3,4.6,3.1,1.5,0.2,1
17,5.1,3.5,1.4,0.3,1
38,4.4,3.0,1.3,0.2,1
72,6.3,2.5,4.9,1.5,2
136,6.3,3.4,5.6,2.4,3
6,4.6,3.4,1.4,0.3,1
112,6.8,3.0,5.5,2.1,3
100,6.3,3.3,6.0,2.5,3
2,4.7,3.2,1.3,0.2,1
63,6.1,2.9,4.7,1.4,2
54,6.5,2.8,4.6,1.5,2
126,6.2,2.8,4.8,1.8,3
50,7.0,3.2,4.7,1.4,2
115,6.4,3.2,5.3,2.3,3
46,5.1,3.8,1.6,0.2,1
139,6.9,3.1,5.4,2.1,3
61,5.9,3.0,4.2,1.5,2
147,6.5,3.0,5.2,2.0,3
79,5.7,2.6,3.5,1.0,2
59,5.2,2.7,3.9,1.4,2
91,6.1,3.0,4.6,1.4,2
41,4.5,2.3,1.3,0.3,1
58,6.6,2.9,4.6,1.3,2
90,5.5,2.6,4.4,1.2,2
48,5.3,3.7,1.5,0.2,1
88,5.6,3.0,4.1,1.3,2
107,7.3,2.9,6.3,1.8,3
124,6.7,3.3,5.7,2.1,3
21,5.1,3.7,1.5,0.4,1
57,4.9,2.4,3.3,1.0,2
144,6.7,3.3,5.7,2.5,3
129,7.2,3.0,5.8,1.6,3
37,4.9,3.1,1.5,0.1,1
140,6.7,3.1,5.6,2.4,3
1,4.9,3.0,1.4,0.2,1
52,6.9,3.1,4.9,1.5,2
130,7.4,2.8,6.1,1.9,3
103,6.3,2.9,5.6,1.8,3
99,5.7,2.8,4.1,1.3,2
116,6.5,3.0,5.5,1.8,3
87,6.3,2.3,4.4,1.3,2
74,6.4,2.9,4.3,1.3,2
121,5.6,2.8,4.9,2.0,3
149,5.9,3.0,5.1,1.8,3
20,5.4,3.4,1.7,0.2,1
71,6.1,2.8,4.0,1.3,2
106,4.9,2.5,4.5,1.7,3
14,5.8,4.0,1.2,0.2,1
92,5.8,2.6,4.0,1.2,2
102,7.1,3.0,5.9,2.1,3
