"","Treatment","SproutN","BunchN","GrapeW","WoodW","SPAD06","NDVI06","SPAD08","NDVI08","Acid","Potass","Brix","pH","Anthoc","Polyph"
"1","T6b",0.202349156948295,0.295120073543996,0.00735304981859402,-0.0440597951363689,0.123073602913444,-0.0114394574614512,0.0122052948566487,0.0852294957271705,0.20397874206448,-0.10430306281981,-0.12750568239946,-0.0517985541436055,-0.275240110354423,-0.193690122571441
"2","T7b",0.266059575066287,0.425589375508848,0.119440921686286,0.410288066166265,-0.00328522928260089,0.0261990969802754,0.140954244884658,0.113828069660383,0.0462331411246966,-0.150271094853677,0.0759064154341153,0.0043934111438046,0.280481259235632,0.379004832443312
"3","T8b",0.415644455912204,0.078504893176245,0.439378061306605,0.363777739882865,0.100209972220943,0.0905082472072015,0.0401110092046213,-0.0196624540396207,-0.138106753268281,-0.0279171740950002,0.00332036840587009,0.0419664849233431,-0.0168032044434356,-0.259305472920699
"4","T4a",-0.120736043645291,0.0732148443087958,-0.310474641817852,0.122280974165753,-0.115674602225541,-0.0435848631150865,0.0423406797515191,0.15443896927916,-0.0888544452664442,0.0494491905900938,0.0952240173548132,0.0358572273982309,-0.0572440431985686,-0.141223119723782
"5","T5b",0.10882931670608,0.355557865361016,-0.483607899630952,-0.52559726328355,-0.173176434899488,-0.139314194043733,-0.216182836413341,-0.121071974797532,0.0528166834345086,-0.315021260879947,0.0624837770839746,-0.00890972867124174,-0.0231867298904502,0.172194283098091
"6","T7a",0.169160386975192,0.254112489418122,0.690260032788118,0.517337843163054,-0.0452260231434266,0.117037248349696,0.0881196276470081,0.0904756935030452,-0.112650579196649,-0.128168275559986,-0.0148057180131677,0.00243068911274808,-0.138581268071694,-0.255430537216714
"7","T5a",0.14726240716138,0.33933462764046,0.210789501383278,-0.104642567913013,-0.0520913456621274,-0.0497465093293322,-0.0645329838175055,-0.054263119196721,0.174194004542836,-0.27357343192757,-0.129335935139989,-0.0602986136329102,0.215845094371176,0.143598960488419
"8","T5b",0.522123694982882,0.283491840491055,0.652793885437091,0.540557739492551,0.204546389481699,0.00721393615872933,0.0860869958056402,0.137698409888447,-0.202776446393763,-0.0617463480182772,-0.0228966001968123,0.0327374627063538,0.108455886295885,0.10506775284001
"9","T7a",0.0153313299707567,0.166680975878627,0.690204450244878,0.17143238622004,-0.0469237113035905,0.0768871370480096,0.0809267907724933,0.178415281436153,0.0637183494383733,-0.176662733400467,-0.0820217143775364,-0.0201077854705463,-0.29530504203861,-0.25659422855052
"10","T3a",-0.12941243422683,0.252320480601091,-0.320339232228877,-0.323672105031309,0.0298471396171168,-0.102008180763173,0.000156589035909351,-0.0317097577087209,0.246559695967656,0.179238080211687,-0.0185527076620943,-0.0300458839881825,0.521514534414943,0.429407928290359
"11","T4a",0.00939652173923136,-0.668856448091732,-0.72877661699336,0.366864611284212,0.132369054809845,0.0104450232754777,0.0650100252950779,0.0435969633109888,-0.0151126086204005,0.1167647551077,0.0449545840307788,0.0146171892209089,-0.0971490549878276,-0.223153253950467
"12","T1b",-0.278678604320144,-0.118958958450289,-0.127475586107364,-0.00636132982250132,0.0521447254701861,0.0800378966066768,0.0741636477863575,-0.0269424081202805,0.0993784684834347,0.148685690038761,0.0121055835269357,-0.00768146274180887,-0.336168461985301,-0.579504722118667
"13","T7a",0.174529471983929,0.0244764673563887,-0.10681409352827,0.131642543200024,0.101780276064612,0.0878959650103494,0.117777604063495,0.121169095462525,-0.0860768864989957,0.00571595858833144,0.0860944317196858,0.000882194762349025,0.7078541273342,0.479445178991728
"14","T5b",0.259091296310662,-0.453187227268094,-0.298057110770583,-0.114065018766077,-0.0278700005824167,0.0147061695978332,-0.00246292322498281,0.0835510992486562,-0.0778533966496463,-0.106603340890321,0.00983951330464914,-0.00354333927816636,-0.00261006642090941,0.133438110197866
"15","T1b",-0.0685888970441111,-0.991701006048216,-1.33426315260044,-0.244810576877933,-0.120983617818366,0.03051561216224,-0.07364105337361,-0.143029093576971,0.00360345527496119,-0.00664982688343392,0.0910090007850307,-0.00255593781659612,0.73602691144743,0.265607087202719
