,Erk,Akt,PKA,Mek,Jnk,PKC,Raf,P38,PIP3,PIP2,Plcg
0,1,0,0,2,0,0,1,2,1,0,2
1,2,1,1,0,1,0,0,0,2,0,0
2,2,1,1,1,1,1,0,0,0,0,0
3,1,0,2,0,0,0,0,0,0,0,0
4,1,1,1,0,1,2,0,0,2,0,0
5,2,2,0,2,0,0,1,2,2,0,0
6,0,0,1,0,0,2,0,0,1,0,0
7,1,0,2,0,0,0,0,0,1,0,0
8,1,0,2,0,0,0,1,0,2,0,0
9,1,1,1,0,1,0,1,0,2,0,0
10,1,0,1,0,1,1,0,0,0,0,0
11,1,0,0,2,0,0,2,2,2,0,0
12,0,1,0,0,1,2,0,0,0,0,0
13,1,0,1,0,1,2,0,0,0,0,0
14,1,1,1,0,0,0,0,0,1,0,0
15,1,0,1,0,0,0,2,0,2,0,0
16,2,2,0,2,2,0,2,2,1,0,0
17,1,0,1,0,1,1,1,0,1,2,2
18,1,1,0,2,0,0,2,2,1,0,0
19,2,2,0,2,2,0,2,2,2,0,0
20,1,1,0,1,1,1,0,0,1,0,0
21,1,1,1,0,0,1,1,0,1,0,0
22,1,0,1,0,0,0,2,0,2,0,0
23,2,0,1,1,0,1,0,1,2,0,0
24,1,0,2,0,1,2,0,0,2,0,0
25,2,1,1,0,0,1,0,0,2,2,2
26,1,0,1,0,1,2,0,0,1,0,0
27,2,2,0,2,2,0,2,0,2,0,0
28,1,0,1,0,1,1,1,0,2,0,0
29,2,1,1,0,1,0,2,0,2,1,0
30,0,0,0,0,2,0,2,2,1,0,0
31,1,0,1,0,0,1,1,0,2,0,0
32,1,1,1,0,0,1,1,1,0,0,0
33,1,0,1,0,1,1,1,1,1,1,2
34,1,0,1,0,0,1,1,1,1,0,0
35,2,1,1,1,0,1,0,0,1,0,0
36,2,1,1,1,1,1,1,0,2,0,0
37,1,1,1,1,0,1,0,0,2,0,0
38,2,2,0,2,2,0,2,2,1,1,2
39,1,0,2,0,0,0,1,0,2,0,1
40,2,0,1,0,1,2,0,1,0,1,2
41,1,0,1,1,0,1,0,0,1,0,0
42,2,2,0,2,1,0,2,2,1,0,0
43,0,0,0,0,1,1,2,0,0,0,0
44,1,0,1,0,0,0,1,0,1,0,0
45,1,0,1,0,1,1,0,0,0,0,1
46,1,0,1,1,1,0,1,0,2,0,1
47,1,0,1,1,0,1,1,0,2,0,0
48,0,0,0,0,2,0,2,1,1,0,0
49,1,0,1,1,1,0,0,0,2,0,0
50,0,0,0,0,1,0,1,2,1,0,0
51,2,2,0,2,1,0,2,2,2,0,0
52,1,1,1,1,1,1,2,0,2,0,0
53,1,1,1,1,1,1,2,0,2,0,0
54,2,0,1,0,1,2,0,0,2,0,0
55,1,0,1,1,0,1,0,0,1,0,2
56,1,1,0,0,1,0,2,0,1,0,0
57,1,0,1,1,0,1,1,0,1,0,0
58,1,0,1,1,1,1,0,0,0,0,2
59,2,1,1,1,1,0,1,0,1,0,0
60,1,0,1,0,1,1,1,0,2,0,0
