"","Region","Zone","Type","Year","Season","Month","Day","Hour","Latitude","Longitude","Altitude","t2m","ws","wd","tp","blh","ssr","CVD60","no2","o3","so2","co","pm10","pm2.5"
"1","South East","Yorkshire & Humberside","Background Urban","1992","Fall","10","15","17",53.1835225989102,-2.03585981887573,180.22128753258,280.510192383899,9.84646831029844,304.578103611172,-0.000752287550669358,1495.05084978711,3951754.2720011,0.157361993127722,76.2751194147844,17.7151647999552,13.8061031119942,1.44169276171562,36.4978535782973,18.6439107410985
"2","North East","Greater Manchester Urban Area","Background Urban","1987","Winter","12","31","07",52.3959061926319,-0.0415127352761364,10.2484361100501,279.571355442849,5.86491701994577,230.571594189883,0.00183528488361457,467.00393867781,-80908.4279389467,0.331879222454169,99.5161903575603,17.747035089347,13.814152518528,1.44247087638587,36.4700474967641,18.641635909882
"3","West Midlands","Greater London Urban Area","Industrial Urban","1991","Summer","10","27","20",52.7160188489542,-0.894552897818296,32.1848668490242,284.113494834922,2.27894135712243,95.3801560243361,0.00134270036169628,-58.4461967135705,3327073.08470631,0.158809951886523,76.3609888896239,17.7471594333376,13.8616593822204,1.49072075309996,36.4719536682477,18.5906693474437
"4","Yorkshire and The Humber","Eastern","Industrial Urban","1985","Winter","08","07","05",54.6497671181586,-0.221069273307063,51.9509581859597,285.728826938273,4.86529337290656,226.528776584708,-0.000372618886584757,312.876745177492,112330.404299687,0.188006393755397,76.2963642489383,17.7345134488118,13.811751478516,1.44153469424623,36.4800950041308,18.6389879320166
"5","Greater London Authority","Eastern","Background Suburban","1990","Summer","01","27","05",50.6964508726119,-3.59515206978172,153.46851200017,279.12568151289,8.83929227339452,248.501939901455,0.000732862323623193,750.534879270054,6898908.94239831,0.172835567919956,65556.5147547774,12.4091075618537,-234.468720233898,1.5760026692806,35.4925259466333,18.6464306181253
"6","Greater London Authority","Yorkshire & Humberside","Background Urban","1981","Fall","12","07","15",52.8677345237941,1.72014727987063,98.7434183358202,278.049390288166,7.69183094847175,172.986201707792,0.00149633588220304,720.38584481247,208598.74371159,0.199349037273389,76.3398928228509,17.7494825576496,13.8082143375369,1.44228062254823,36.4758825108498,18.6374785874081
"7","North East","West Midlands Urban Area","Traffic Urban","1993","Summer","11","29","22",52.1579015464583,-0.771718634726625,-31.7800169041424,280.036607011153,13.2317272272846,150.89349348485,0.0113199827442487,1535.24174801431,-2268261.20218986,0.255021470639244,76.315491620694,17.7383265525551,13.7939214828547,1.42957890270696,36.8976120286284,18.6322971964264
"8","Greater London Authority","North East","Background Urban","2000","Winter","11","24","09",52.5975788326359,-2.05884470378844,110.726960114331,277.135885784033,4.51407796303826,227.362236893855,-0.00214507904926901,342.357922226911,1104240.59367816,0.17015146364388,76.3198498104522,17.7396750403055,1.49901256393601,1.44097340930795,36.4856958289954,18.4752629910866
"9","Greater London Authority","Coventry/Bedworth","Background Rural","1988","Fall","10","06","00",52.5727268144686,-4.02191161775364,171.621028092114,287.447510466733,13.8578903181212,256.866170512858,-0.00261961084539853,1716.94486165845,11996862.7520771,0.112162319147079,599.676451482143,27.6976646387793,13.6702585356049,2.18099260183009,36.4948367703522,16.8656382318475
"10","Greater London Authority","Yorkshire & Humberside","Background Rural","1987","Winter","04","13","14",50.8438021668763,-0.402945844303003,104.174693042365,283.018993429298,3.61912272423504,199.996797080521,0.000640021183046258,939.688355092159,2544580.17258234,0.0876802393806003,76.3574692275637,26.5132037627048,13.807361934244,1.44167367005454,36.4561371250799,20.1761889266268
