"Date","Height","gap","gap_center"
"2003-01-01",2.22232913579004,2.22232913579004,2.22232913579004
"2003-01-02",2.21611373984261,2.21611373984261,2.21611373984261
"2003-01-03",2.2056002849611,2.2056002849611,2.2056002849611
"2003-01-04",2.20561023871482,2.20561023871482,2.20561023871482
"2003-01-05",2.23180233238446,2.23180233238446,2.23180233238446
"2003-01-06",2.2185605732831,2.2185605732831,2.2185605732831
"2003-01-07",2.2517054220298,2.2517054220298,2.2517054220298
"2003-01-08",2.24993514325753,2.24993514325753,2.24993514325753
"2003-01-09",2.24728975678509,2.24728975678509,2.24728975678509
"2003-01-10",2.25737290752552,2.25737290752552,2.25737290752552
"2003-01-11",2.25816207671866,2.25816207671866,2.25816207671866
"2003-01-12",2.24889719445326,2.24889719445326,2.24889719445326
"2003-01-13",2.27267619111741,2.27267619111741,2.27267619111741
"2003-01-14",2.27306144900694,2.27306144900694,2.27306144900694
"2003-01-15",2.24778619169157,2.24778619169157,2.24778619169157
"2003-01-16",2.29768774363597,2.29768774363597,2.29768774363597
"2003-01-17",2.264830270687,2.264830270687,2.264830270687
"2003-01-18",2.28706605166868,2.28706605166868,2.28706605166868
"2003-01-19",2.27487063231858,2.27487063231858,2.27487063231858
"2003-01-20",2.30383332413772,2.30383332413772,2.30383332413772
"2003-01-21",2.29272926019235,2.29272926019235,2.29272926019235
"2003-01-22",2.34584793041637,2.34584793041637,2.34584793041637
"2003-01-23",2.3314626734502,2.3314626734502,2.3314626734502
"2003-01-24",2.3167065163225,2.3167065163225,2.3167065163225
"2003-01-25",2.31557202317902,2.31557202317902,2.31557202317902
"2003-01-26",2.32516141733166,2.32516141733166,2.32516141733166
"2003-01-27",2.34385669028216,2.34385669028216,2.34385669028216
"2003-01-28",2.35072650267964,2.35072650267964,2.35072650267964
"2003-01-29",2.32631014039981,2.32631014039981,2.32631014039981
"2003-01-30",2.34443870495009,2.34443870495009,2.34443870495009
"2003-01-31",2.36191119977184,2.36191119977184,2.36191119977184
"2003-02-01",2.36479926686644,2.36479926686644,2.36479926686644
"2003-02-02",2.35628247202975,2.35628247202975,2.35628247202975
"2003-02-03",2.34218157124788,2.34218157124788,2.34218157124788
"2003-02-04",2.35474208405302,2.35474208405302,2.35474208405302
"2003-02-05",2.35373477621423,2.35373477621423,2.35373477621423
"2003-02-06",2.33954657088147,2.33954657088147,2.33954657088147
"2003-02-07",2.35491911466095,2.35491911466095,2.35491911466095
"2003-02-08",2.31742405554486,2.31742405554486,2.31742405554486
"2003-02-09",2.36659708741611,2.36659708741611,2.36659708741611
"2003-02-10",2.36647822881072,2.36647822881072,2.36647822881072
"2003-02-11",2.37160581647208,2.37160581647208,2.37160581647208
"2003-02-12",2.36899011943525,2.36899011943525,2.36899011943525
"2003-02-13",2.38090038390548,2.38090038390548,2.38090038390548
"2003-02-14",2.34708408942112,2.34708408942112,2.34708408942112
"2003-02-15",2.38760708606016,2.38760708606016,2.38760708606016
"2003-02-16",2.36189433911317,2.36189433911317,2.36189433911317
"2003-02-17",2.38436810757772,2.38436810757772,2.38436810757772
"2003-02-18",2.35656655337263,2.35656655337263,2.35656655337263
"2003-02-19",2.36219781846976,2.36219781846976,2.36219781846976
"2003-02-20",2.38431731279819,2.38431731279819,2.38431731279819
"2003-02-21",2.35275551517838,2.35275551517838,2.35275551517838
"2003-02-22",2.36675041236577,2.36675041236577,2.36675041236577
"2003-02-23",2.35557879934826,2.35557879934826,2.35557879934826
"2003-02-24",2.38596661699036,2.38596661699036,2.38596661699036
"2003-02-25",2.37704083651402,2.37704083651402,2.37704083651402
"2003-02-26",2.36820348014808,2.36820348014808,2.36820348014808
"2003-02-27",2.35925781903517,2.35925781903517,2.35925781903517
"2003-02-28",2.38671096920334,2.38671096920334,2.38671096920334
