dates,sea_level
2002-01-01,-0.5140263438224792
2002-01-02,-0.4891364872455597
2002-01-03,-0.4799166023731232
2002-01-04,-0.4647411108016968
2002-01-05,-0.4718316793441773
2002-01-06,-0.4759610593318939
2002-01-07,-0.5036455392837524
2002-01-08,-0.5054291486740112
2002-01-09,-0.4936390817165375
2002-01-10,-0.5083606839179993
2002-01-11,-0.5010759830474854
2002-01-12,-0.4994236528873444
2002-01-13,-0.5084259510040283
2002-01-14,-0.5081523060798645
2002-01-15,-0.513821542263031
2002-01-16,-0.5229871869087219
2002-01-17,-0.5354130268096924
2002-01-18,-0.5301785469055176
2002-01-19,-0.5319398045539856
2002-01-20,-0.5248135328292847
2002-01-21,-0.5256776809692383
2002-01-22,-0.5163482427597046
2002-01-23,-0.5179858803749084
2002-01-24,-0.5368966460227966
2002-01-25,-0.5338031649589539
2002-01-26,-0.5265125036239624
2002-01-27,-0.5192217826843262
2002-01-28,-0.5175198316574097
2002-01-29,-0.5087765455245972
2002-01-30,-0.5049321651458739
2002-01-31,-0.5083890557289124
2002-02-01,-0.477267175912857
2002-02-02,-0.4698501527309418
2002-02-03,-0.4968740046024322
2002-02-04,-0.5364800691604614
2002-02-05,-0.5468311309814453
2002-02-06,-0.5477913022041321
2002-02-07,-0.5531126856803894
2002-02-08,-0.5573605895042419
2002-02-09,-0.5606474280357361
2002-02-10,-0.5559601783752441
2002-02-11,-0.5473685264587402
2002-02-12,-0.5308958292007446
2002-02-13,-0.5238502025604248
2002-02-14,-0.5542812347412109
2002-02-15,-0.5578410625457764
2002-02-16,-0.5573442578315735
2002-02-17,-0.5506516695022583
2002-02-18,-0.5749648809432983
2002-02-19,-0.5644332766532898
2002-02-20,-0.5696803331375122
2002-02-21,-0.5925678610801697
2002-02-22,-0.6121700406074524
2002-02-23,-0.6167254447937012
2002-02-24,-0.6160503029823303
2002-02-25,-0.5703080892562866
2002-02-26,-0.5721026062965393
2002-02-27,-0.5672502517700195
2002-02-28,-0.5675097107887268
2002-03-01,-0.5844480991363525
2002-03-02,-0.5758180022239685
2002-03-03,-0.5826226472854614
2002-03-04,-0.5854300856590271
2002-03-05,-0.5895612239837646
2002-03-06,-0.5872195363044739
2002-03-07,-0.5721884369850159
2002-03-08,-0.559939980506897
2002-03-09,-0.573563277721405
2002-03-10,-0.5649698972702026
2002-03-11,-0.5576746463775635
2002-03-12,-0.5617759227752686
2002-03-13,-0.5735220313072205
2002-03-14,-0.5711101889610289
2002-03-15,-0.5555658936500549
2002-03-16,-0.5524084568023682
2002-03-17,-0.5673938393592834
2002-03-18,-0.5771437287330627
2002-03-19,-0.5661853551864624
2002-03-20,-0.555580735206604
2002-03-21,-0.5570600032806396
2002-03-22,-0.5491881370544434
2002-03-23,-0.5330808758735657
2002-03-24,-0.5409928560256958
2002-03-25,-0.5558112263679504
2002-03-26,-0.5677279829978943
2002-03-27,-0.5702816843986511
2002-03-28,-0.5857763290405273
2002-03-29,-0.5840126872062683
2002-03-30,-0.5807203054428101
2002-03-31,-0.5853444337844849
2002-04-01,-0.5844149589538574
2002-04-02,-0.5892489552497864
2002-04-03,-0.5906190276145935
2002-04-04,-0.5810750722885132
2002-04-05,-0.5970274806022644
2002-04-06,-0.5853099822998047
2002-04-07,-0.5667128562927246
2002-04-08,-0.5888996124267578
2002-04-09,-0.5877540111541748
2002-04-10,-0.5977095365524292
2002-04-11,-0.5990203619003296
2002-04-12,-0.5958684682846069
2002-04-13,-0.5788356065750122
2002-04-14,-0.5779943466186523
2002-04-15,-0.5842341184616089
2002-04-16,-0.5622711777687073
2002-04-17,-0.5535111427307129
2002-04-18,-0.5589392781257629
2002-04-19,-0.5590588450431824
2002-04-20,-0.5590099692344666
2002-04-21,-0.5560742020606995
2002-04-22,-0.564368486404419
2002-04-23,-0.5764251351356506
2002-04-24,-0.5710265040397644
2002-04-25,-0.5984792709350586
2002-04-26,-0.6272071599960327
2002-04-27,-0.6376845240592957
2002-04-28,-0.6336788535118103
2002-04-29,-0.6310577392578125
2002-04-30,-0.6314077377319336
2002-05-01,-0.6313456892967224
2002-05-02,-0.6354501247406006
2002-05-03,-0.6282256245613098
2002-05-04,-0.6085239052772522
2002-05-05,-0.6030603647232056
2002-05-06,-0.5918976664543152
2002-05-07,-0.6104863286018372
2002-05-08,-0.6091346740722656
2002-05-09,-0.5988759398460388
2002-05-10,-0.5967279076576233
2002-05-11,-0.6085779070854187
2002-05-12,-0.6087523698806763
2002-05-13,-0.5957584977149963
2002-05-14,-0.5968317985534668
2002-05-15,-0.5930342674255371
2002-05-16,-0.5818601846694946
2002-05-17,-0.5784030556678772
2002-05-18,-0.5728244185447693
2002-05-19,-0.5769931674003601
2002-05-20,-0.5772472620010376
2002-05-21,-0.5729909539222717
2002-05-22,-0.581009566783905
2002-05-23,-0.5840317606925964
2002-05-24,-0.5779414772987366
2002-05-25,-0.5859241485595703
2002-05-26,-0.5862717628479004
2002-05-27,-0.5879243016242981
2002-05-28,-0.587535560131073
2002-05-29,-0.58456951379776
2002-05-30,-0.5891984701156616
2002-05-31,-0.579754114151001
2002-06-01,-0.571874737739563
2002-06-02,-0.5733678340911865
2002-06-03,-0.5800512433052063
2002-06-04,-0.5799880623817444
2002-06-05,-0.573294460773468
2002-06-06,-0.573739230632782
2002-06-07,-0.5792067646980286
2002-06-08,-0.5810542106628418
2002-06-09,-0.576751172542572
2002-06-10,-0.5761693716049194
2002-06-11,-0.5725576877593994
2002-06-12,-0.5688992738723755
2002-06-13,-0.5676421523094177
2002-06-14,-0.561630129814148
2002-06-15,-0.5611774325370789
2002-06-16,-0.556769073009491
2002-06-17,-0.5470618009567261
2002-06-18,-0.5429021120071411
2002-06-19,-0.5576464533805847
2002-06-20,-0.5645203590393066
2002-06-21,-0.5602328181266785
2002-06-22,-0.5637935400009155
2002-06-23,-0.5613887310028076
2002-06-24,-0.5562621355056763
2002-06-25,-0.5659981369972229
2002-06-26,-0.574325680732727
2002-06-27,-0.5869566202163696
2002-06-28,-0.5881301164627075
2002-06-29,-0.5697920918464661
2002-06-30,-0.5699589848518372
2002-07-01,-0.5718154311180115
2002-07-02,-0.5768746137619019
2002-07-03,-0.5882800817489624
2002-07-04,-0.5884006023406982
2002-07-05,-0.5748035907745361
2002-07-06,-0.5665321946144104
2002-07-07,-0.5601031184196472
2002-07-08,-0.5638083815574646
2002-07-09,-0.5648874044418335
2002-07-10,-0.5560533404350281
2002-07-11,-0.5564556121826172
2002-07-12,-0.5588091015815735
2002-07-13,-0.5591018199920654
2002-07-14,-0.5594280362129211
2002-07-15,-0.561609148979187
2002-07-16,-0.5632991790771484
2002-07-17,-0.5665938258171082
2002-07-18,-0.5652866363525391
2002-07-19,-0.5524328947067261
2002-07-20,-0.5510413646697998
2002-07-21,-0.5523726940155029
2002-07-22,-0.5549212694168091
2002-07-23,-0.5530163049697876
2002-07-24,-0.5546189546585083
2002-07-25,-0.554067850112915
2002-07-26,-0.5595637559890747
2002-07-27,-0.5602462291717529
2002-07-28,-0.5619819760322571
2002-07-29,-0.5607426166534424
2002-07-30,-0.5578552484512329
2002-07-31,-0.5491814613342285
2002-08-01,-0.5508749485015869
2002-08-02,-0.5451696515083313
2002-08-03,-0.5467503070831299
2002-08-04,-0.5434495210647583
2002-08-05,-0.5352015495300293
2002-08-06,-0.5335005521774292
2002-08-07,-0.5350013375282288
2002-08-08,-0.5362493991851807
2002-08-09,-0.5337321162223816
2002-08-10,-0.5307530164718628
2002-08-11,-0.5306766629219055
2002-08-12,-0.5267722010612488
2002-08-13,-0.5251100063323975
2002-08-14,-0.5154347419738771
2002-08-15,-0.5099459290504456
2002-08-16,-0.5026306509971619
2002-08-17,-0.5068984627723694
2002-08-18,-0.4901342689990997
2002-08-19,-0.4849839508533478
2002-08-20,-0.4966905415058136
2002-08-21,-0.5183822512626648
2002-08-22,-0.5230559706687927
2002-08-23,-0.5142378807067871
2002-08-24,-0.5081746578216553
2002-08-25,-0.5102622509002686
2002-08-26,-0.5127367377281189
2002-08-27,-0.5123432874679565
2002-08-28,-0.5085048079490662
2002-08-29,-0.508072018623352
2002-08-30,-0.5116375088691711
2002-08-31,-0.5221750736236572
2002-09-01,-0.4948656558990479
2002-09-02,-0.5173990130424501
2002-09-03,-0.5187880396842957
2002-09-04,-0.4953514933586121
2002-09-05,-0.5010007023811339
2002-09-06,-0.4960244596004486
2002-09-07,-0.4923537373542786
2002-09-08,-0.4909830093383789
2002-09-09,-0.4961284995079041
2002-09-10,-0.4768937826156616
2002-09-11,-0.4753177762031555
2002-09-12,-0.4800626337528229
2002-09-13,-0.4851890206336975
2002-09-14,-0.476757675409317
2002-09-15,-0.4878637194633484
2002-09-16,-0.4884622693061829
2002-09-17,-0.4938591718673706
2002-09-18,-0.4925729930400848
2002-09-19,-0.4933597445487976
2002-09-20,-0.4900203943252564
2002-09-21,-0.48436331748962397
2002-09-22,-0.4786421358585358
2002-09-23,-0.4863258302211762
2002-09-24,-0.4801794588565826
2002-09-25,-0.4615704715251922
2002-09-26,-0.4708398878574371
2002-09-27,-0.4816522002220154
2002-09-28,-0.4905752539634705
2002-09-29,-0.4748594164848328
2002-09-30,-0.4694271087646485
2002-10-01,-0.4674693644046784
2002-10-02,-0.4576688706874848
2002-10-03,-0.4590463042259216
2002-10-04,-0.4592440724372864
2002-10-05,-0.4722677767276764
2002-10-06,-0.4846791326999664
2002-10-07,-0.4678937792778015
2002-10-08,-0.4639304578304291
2002-10-09,-0.4535390436649322
2002-10-10,-0.4488518238067627
2002-10-11,-0.4416912794113159
2002-10-12,-0.44657909870147705
2002-10-13,-0.4598327279090881
2002-10-14,-0.4645668864250183
2002-10-15,-0.4642960727214813
2002-10-16,-0.4718759059906006
2002-10-17,-0.4868167638778687
2002-10-18,-0.5067535638809204
2002-10-19,-0.5094365477561951
2002-10-20,-0.5057384371757507
2002-10-21,-0.5023012757301331
2002-10-22,-0.4969674348831177
2002-10-23,-0.5120623707771301
2002-10-24,-0.5202201008796692
2002-10-25,-0.5166164040565491
2002-10-26,-0.5295665264129639
2002-10-27,-0.5167789459228516
2002-10-28,-0.5196390748023987
2002-10-29,-0.5017065405845642
2002-10-30,-0.504140317440033
2002-10-31,-0.5005938410758972
2002-11-01,-0.4771121442317962
2002-11-02,-0.4685441851615906
2002-11-03,-0.4547439217567444
2002-11-04,-0.4599658250808716
2002-11-05,-0.4841426014900208
2002-11-06,-0.4982505738735199
2002-11-07,-0.5064998865127563
