dataset,fitted_operation,approach,iterations,score_train,score_test,time_spent,memory_spent,pipeline
scoring,logit,default,0,0.6925038191788191,0.6944821765465197,6.477391481399536,119.27576637268066,(((/n_simple_imputation_default_params;)/n_one_hot_encoding_default_params;)/n_scaling_default_params;)/n_logit_default_params
scoring,logit,random,50,0.6919281127181235,0.6936500844007547,158.01462626457214,8.763303756713867,(((/n_simple_imputation_default_params;)/n_one_hot_encoding_default_params;)/n_scaling_default_params;)/n_logit_{'C': 72.91742963330876}
scoring,logit,tpe,50,0.6960627545425674,0.6913156588223612,158.8697726726532,8.649306297302246,(((/n_simple_imputation_default_params;)/n_one_hot_encoding_default_params;)/n_scaling_default_params;)/n_logit_{'C': 0.00016628523874354646}
scoring,logit,random,100,0.6949278201002823,0.6937255486049052,307.7358407974243,8.634806632995605,(((/n_simple_imputation_default_params;)/n_one_hot_encoding_default_params;)/n_scaling_default_params;)/n_logit_{'C': 0.1914259001078551}
scoring,logit,tpe,100,0.6919222037685449,0.693634197199881,314.28777718544006,18.927698135375977,(((/n_simple_imputation_default_params;)/n_one_hot_encoding_default_params;)/n_scaling_default_params;)/n_logit_{'C': 139.7136651510432}
scoring,logit,random,200,0.6919168773914602,0.6936222817992255,613.280256986618,8.805030822753906,(((/n_simple_imputation_default_params;)/n_one_hot_encoding_default_params;)/n_scaling_default_params;)/n_logit_{'C': 403.6669006657481}
scoring,logit,tpe,200,0.7174757058947681,0.7137176050044683,618.7938973903656,9.190315246582031,(((/n_simple_imputation_default_params;)/n_one_hot_encoding_default_params;)/n_scaling_default_params;)/n_logit_{'C': 2.2945066746322064e-06}
scoring,logit,random,500,0.7008194173409527,0.696112600536193,1553.9328918457031,9.392952919006348,(((/n_simple_imputation_default_params;)/n_one_hot_encoding_default_params;)/n_scaling_default_params;)/n_logit_{'C': 0.00012622701001185308}
scoring,logit,tpe,500,0.6927047650768097,0.6936451196504816,1558.7037405967712,9.58616828918457,(((/n_simple_imputation_default_params;)/n_one_hot_encoding_default_params;)/n_scaling_default_params;)/n_logit_{'C': 1.3022042428023297}
scoring,lgbm,default,0,0.9999981482517165,0.8078313970807268,5.494054794311523,33.669546127319336,"(((/n_simple_imputation_default_params;)/n_one_hot_encoding_default_params;)/n_scaling_default_params;)/n_lgbm_{'num_leaves': 32, 'colsample_bytree': 0.8, 'subsample': 0.8, 'subsample_freq': 10, 'learning_rate': 0.03, 'n_estimators': 3000, 'verbose': -1}"
