Date,Height,U-component,V-component
2003-01-01,0.6401,-0.1646,0.1277
2003-01-02,0.6417,-0.1675,0.1257
2003-01-03,0.6434000000000001,-0.165,0.13040000000000002
2003-01-04,0.6448,-0.1648,0.1227
2003-01-05,0.6471,-0.1592,0.12290000000000001
2003-01-06,0.6482,-0.1534,0.1188
2003-01-07,0.649,-0.1313,0.1264
2003-01-08,0.6506000000000001,-0.1237,0.1264
2003-01-09,0.6573,-0.126,0.12240000000000001
2003-01-10,0.6597000000000001,-0.126,0.11510000000000001
2003-01-11,0.6641,-0.12350000000000001,0.1039
2003-01-12,0.6662,-0.117,0.08800000000000001
2003-01-13,0.6681,-0.11410000000000001,0.0892
2003-01-14,0.6698000000000001,-0.1087,0.0845
2003-01-15,0.6719,-0.1078,0.0829
2003-01-16,0.6718000000000001,-0.094,0.0814
2003-01-17,0.6735,-0.10310000000000001,0.0818
2003-01-18,0.6715,-0.10200000000000001,0.0961
2003-01-19,0.6691,-0.097,0.1012
2003-01-20,0.6704,-0.1101,0.12250000000000001
2003-01-21,0.6717000000000001,-0.115,0.1342
2003-01-22,0.6721,-0.13970000000000002,0.137
2003-01-23,0.6731,-0.15380000000000002,0.1479
2003-01-24,0.6776,-0.1449,0.1444
2003-01-25,0.6783,-0.14070000000000002,0.1516
2003-01-26,0.6808000000000001,-0.1321,0.1451
2003-01-27,0.684,-0.1197,0.1336
2003-01-28,0.6878000000000001,-0.11030000000000001,0.1283
2003-01-29,0.6914,-0.1174,0.1135
2003-01-30,0.6953,-0.1182,0.097
2003-01-31,0.7012,-0.10980000000000001,0.07350000000000001
2003-02-01,0.7061000000000001,-0.1081,0.056900000000000006
2003-02-02,0.7081000000000001,-0.1102,0.0718
2003-02-03,0.7119000000000001,-0.10880000000000001,0.06380000000000001
2003-02-04,0.7146,-0.09920000000000001,0.0589
2003-02-05,0.7176,-0.08950000000000001,0.0533
2003-02-06,0.7178,-0.08,0.0585
2003-02-07,0.7201000000000001,-0.0733,0.0654
2003-02-08,0.7250000000000001,-0.0683,0.08
2003-02-09,0.7262000000000001,-0.0597,0.0869
2003-02-10,0.7277,-0.041600000000000005,0.09340000000000001
2003-02-11,0.7321000000000001,-0.0346,0.0937
2003-02-12,0.7343000000000001,-0.030000000000000002,0.0912
2003-02-13,0.7371000000000001,-0.0177,0.09190000000000001
2003-02-14,0.7397,-0.0164,0.098
2003-02-15,0.7415,-0.0031000000000000003,0.0926
2003-02-16,0.744,0.0112,0.0826
2003-02-17,0.7464000000000001,0.027200000000000002,0.09580000000000001
2003-02-18,0.7514000000000001,0.0158,0.0852
2003-02-19,0.752,0.0207,0.0907
2003-02-20,0.7552,0.034,0.0952
2003-02-21,0.7563000000000001,0.0358,0.0936
2003-02-22,0.7579,0.0396,0.1034
2003-02-23,0.7612,0.033,0.0913
2003-02-24,0.7624000000000001,0.0204,0.0942
2003-02-25,0.7666000000000001,0.0088,0.084
2003-02-26,0.7724000000000001,-0.019200000000000002,0.0683
2003-02-27,0.7753,-0.0286,0.0557
2003-02-28,0.7777000000000001,-0.0592,0.0489
2003-03-01,0.7782,-0.08310000000000001,0.0488
2003-03-02,0.7805000000000001,-0.11410000000000001,0.0378
2003-03-03,0.7835000000000001,-0.14730000000000001,0.0064
2003-03-04,0.7866000000000001,-0.1709,-0.0132
2003-03-05,0.7887000000000001,-0.201,-0.032600000000000004
2003-03-06,0.7908000000000001,-0.23070000000000002,-0.0324
2003-03-07,0.7904,-0.2429,-0.0284
2003-03-08,0.7932,-0.2682,-0.0489
2003-03-09,0.7943,-0.2772,-0.058600000000000006
2003-03-10,0.7944,-0.2827,-0.0592
2003-03-11,0.7933,-0.2979,-0.0658
2003-03-12,0.7923,-0.3053,-0.0629
2003-03-13,0.7898000000000001,-0.3069,-0.06520000000000001
2003-03-14,0.7887000000000001,-0.3012,-0.057800000000000004
2003-03-15,0.7871,-0.3002,-0.0574
2003-03-16,0.7851,-0.3018,-0.046
2003-03-17,0.7855000000000001,-0.2983,-0.0424
2003-03-18,0.7861,-0.2902,-0.0458
2003-03-19,0.7828,-0.27040000000000003,-0.040600000000000004
2003-03-20,0.7802,-0.2625,-0.0256
2003-03-21,0.7779,-0.25520000000000004,-0.023
2003-03-22,0.7764000000000001,-0.2494,-0.016800000000000002
2003-03-23,0.777,-0.2518,-0.025400000000000002
2003-03-24,0.7723,-0.24200000000000002,-0.0114
2003-03-25,0.7685000000000001,-0.23270000000000002,0.004
2003-03-26,0.768,-0.22710000000000002,-0.0028
2003-03-27,0.7653000000000001,-0.2243,-0.0039000000000000003
2003-03-28,0.7627,-0.2205,0.007500000000000001
2003-03-29,0.7612,-0.216,0.0184
2003-03-30,0.7594000000000001,-0.2049,0.0256
2003-03-31,0.7574000000000001,-0.2091,0.032
2003-04-01,0.757,-0.2039,0.048600000000000004
2003-04-02,0.7615000000000001,-0.22710000000000002,0.0531
2003-04-03,0.7617,-0.2393,0.0844
2003-04-04,0.7672,-0.2472,0.0858
2003-04-05,0.771,-0.2619,0.0936
2003-04-06,0.7715000000000001,-0.2788,0.1163
2003-04-07,0.7766000000000001,-0.2932,0.1401
2003-04-08,0.7793,-0.3169,0.1656
2003-04-09,0.7874,-0.3405,0.17550000000000002
2003-04-10,0.7907000000000001,-0.3634,0.1957
