Date,Height,U-component,V-component,gap_1,gap_2,gap_3,gap_4,gap_5,gap_6,gap_7,gap
2003-01-01,0.6657000000000001,-0.0757,0.0409,0.6657000000000001,0.6657000000000001,0.6657000000000001,0.6657000000000001,0.6657000000000001,0.6657000000000001,0.6657000000000001,0.6657000000000001
2003-01-02,0.6659,-0.0756,0.0383,0.6659,0.6659,0.6659,0.6659,0.6659,0.6659,0.6659,0.6659
2003-01-03,0.6682,-0.0713,0.0333,0.6682,0.6682,0.6682,0.6682,0.6682,0.6682,0.6682,0.6682
2003-01-04,0.6689,-0.0631,0.0448,0.6689,0.6689,0.6689,0.6689,0.6689,0.6689,0.6689,0.6689
2003-01-05,0.6687000000000001,-0.0505,0.050100000000000006,0.6687000000000001,0.6687000000000001,0.6687000000000001,0.6687000000000001,0.6687000000000001,0.6687000000000001,0.6687000000000001,0.6687000000000001
2003-01-06,0.6716000000000001,-0.0418,0.0345,0.6716000000000001,0.6716000000000001,0.6716000000000001,0.6716000000000001,0.6716000000000001,0.6716000000000001,0.6716000000000001,0.6716000000000001
2003-01-07,0.6729999999999999,-0.0412,0.0277,0.6729999999999999,0.6729999999999999,0.6729999999999999,0.6729999999999999,0.6729999999999999,0.6729999999999999,0.6729999999999999,0.6729999999999999
2003-01-08,0.6733,-0.0273,0.022,0.6733,0.6733,0.6733,0.6733,0.6733,0.6733,0.6733,0.6733
2003-01-09,0.6755,-0.0256,0.0128,0.6755,0.6755,0.6755,0.6755,0.6755,0.6755,0.6755,0.6755
2003-01-10,0.6773,-0.015700000000000002,0.0179,0.6773,0.6773,0.6773,0.6773,0.6773,0.6773,0.6773,0.6773
2003-01-11,0.6808000000000001,-0.0124,0.0215,0.6808000000000001,0.6808000000000001,0.6808000000000001,0.6808000000000001,0.6808000000000001,0.6808000000000001,0.6808000000000001,0.6808000000000001
2003-01-12,0.6823,0.0015,0.0244,0.6823,0.6823,0.6823,0.6823,0.6823,0.6823,0.6823,0.6823
2003-01-13,0.6854,0.0007,0.0342,0.6854,0.6854,0.6854,0.6854,0.6854,0.6854,0.6854,0.6854
2003-01-14,0.6851,-0.0059,0.0268,0.6851,0.6851,0.6851,0.6851,0.6851,0.6851,0.6851,0.6851
2003-01-15,0.6872,0.0086,0.0291,0.6872,0.6872,0.6872,0.6872,0.6872,0.6872,0.6872,0.6872
2003-01-16,0.6912,0.00030000000000000003,0.0349,0.6912,0.6912,0.6912,0.6912,0.6912,0.6912,0.6912,0.6912
2003-01-17,0.6907,-0.0059,0.0296,0.6907,0.6907,0.6907,0.6907,0.6907,0.6907,0.6907,0.6907
2003-01-18,0.6907,-0.0126,0.028999999999999998,0.6907,0.6907,0.6907,0.6907,0.6907,0.6907,0.6907,0.6907
2003-01-19,0.6937,-0.0142,0.0354,0.6937,0.6937,0.6937,0.6937,0.6937,0.6937,0.6937,0.6937
2003-01-20,0.6954,-0.0303,0.0342,0.6954,0.6954,0.6954,0.6954,0.6954,0.6954,0.6954,0.6954
2003-01-21,0.6979000000000001,-0.046200000000000005,0.0393,0.6979000000000001,0.6979000000000001,0.6979000000000001,0.6979000000000001,0.6979000000000001,0.6979000000000001,0.6979000000000001,0.6979000000000001
2003-01-22,0.6978000000000001,-0.0481,0.0207,0.6978000000000001,0.6978000000000001,0.6978000000000001,0.6978000000000001,0.6978000000000001,0.6978000000000001,0.6978000000000001,0.6978000000000001
2003-01-23,0.7000000000000001,-0.0609,0.029400000000000006,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001
2003-01-24,0.7019000000000001,-0.07690000000000001,0.031,0.7019000000000001,0.7019000000000001,0.7019000000000001,0.7019000000000001,0.7019000000000001,0.7019000000000001,0.7019000000000001,0.7019000000000001
2003-01-25,0.7017,-0.0707,0.0286,0.7017,0.7017,0.7017,0.7017,0.7017,0.7017,0.7017,0.7017
2003-01-26,0.7052,-0.08360000000000001,0.0374,0.7052,0.7052,0.7052,0.7052,0.7052,0.7052,0.7052,0.7052
2003-01-27,0.7057,-0.0782,0.0334,0.7057,0.7057,0.7057,0.7057,0.7057,0.7057,0.7057,0.7057
2003-01-28,0.7078,-0.0935,0.035300000000000005,0.7078,0.7078,0.7078,0.7078,0.7078,0.7078,0.7078,0.7078
2003-01-29,0.7115,-0.1116,0.037000000000000005,0.7115,0.7115,0.7115,0.7115,0.7115,0.7115,0.7115,0.7115
2003-01-30,0.7127,-0.1072,0.032100000000000004,0.7127,0.7127,0.7127,0.7127,0.7127,0.7127,0.7127,0.7127
