dataset,iter_num,pipeline_type,IOpt mean,Hyperopt mean,IOpt std,Hyperopt std
reg_cal_housing.csv,20,branched,2.50505233571284,2.774915371773618,0.0,0.17810514191660937
reg_cal_housing.csv,20,complex,6.365795966172712,7.686803459520897,0.0,0.4503784193029419
reg_cal_housing.csv,20,linear,0.0,0.6484004654851934,0.0,0.24972732778036583
reg_cal_housing.csv,100,branched,2.6882022213969816,2.829433309526591,0.0,0.0667611381327241
reg_cal_housing.csv,100,complex,7.988135620008904,2.8759154260977313,0.0,0.24798574913105798
reg_cal_housing.csv,100,linear,0.6690394355925058,0.6690394355923226,0.0,1.6008880381534325e-13
reg_delta_ailerons.csv,20,branched,2.935779007330787,1.7249924603604254,0.0,0.5668005162546533
reg_delta_ailerons.csv,20,complex,132.99334944979876,13.751073580504885,0.0,39.955329511363345
reg_delta_ailerons.csv,20,linear,4.248093324799896,0.005391816906236121,0.0,0.029532197454832404
reg_delta_ailerons.csv,100,branched,3.545471249650035,1.7592085383158413,0.0,0.5142477186034095
reg_delta_ailerons.csv,100,complex,132.99334944979876,17.945977410138514,0.0,45.0104605301165
reg_delta_ailerons.csv,100,linear,4.248093324799896,0.016150752904667342,0.0,0.08846131686578389
reg_pol.csv,20,branched,0.0,0.0,0.0,0.0
reg_pol.csv,20,complex,0.0,0.0,0.0,0.0
reg_pol.csv,20,linear,0.0,-0.08624419042728562,0.0,0.15337974541373464
reg_pol.csv,100,branched,2.471071084690763,1.3507989320409568,0.0,1.4402728924300012
reg_pol.csv,100,complex,0.0,0.0,0.0,0.0
reg_pol.csv,100,linear,-0.06201281509603973,-0.062014363162325024,0.0,1.611966938272836e-06
